ゲーム名,実績名,説明,取得状況
LastSP4,ＦＦ４マスター！,すべてのアチーブメントを獲得した。,❌
LastSP4,焼失と決意,,✅
LastSP4,光を託されし者,,✅
LastSP4,悲しみを越えて,,✅
LastSP4,取り戻した愛と絆,,✅
LastSP4,地底世界へ,,✅
LastSP4,怒りを力に,,✅
LastSP4,月へ,,✅
LastSP4,再戦,,❌
LastSP4,青き星へ,,❌
LastSP4,伝説の聖剣,エクスカリバーを入手した。,✅
LastSP4,伝説のしっぽ,ピンクのしっぽとアダマンアーマーを交換した。,❌
LastSP4,解放されし力,封印された装備をすべて入手した。,❌
LastSP4,召喚マスター,隠しを除く召喚魔法をすべて習得した。,❌
LastSP4,召喚コレクター,隠し召喚魔法をすべて習得した。,❌
LastSP4,歴戦の強者たち,全員がレベル70に達した。,❌
LastSP4,見習い戦士,モンスターを100体倒した。,✅
LastSP4,熟練の戦士,モンスターを500体倒した。,✅
LastSP4,伝説の戦士,モンスターを1000体倒した。,✅
LastSP4,魔物図鑑・基礎知識編,モンスター図鑑のコンプリート率が10%に達した。,✅
LastSP4,魔物図鑑・戦闘解析編,モンスター図鑑のコンプリート率が50%に達した。,✅
LastSP4,魔物図鑑・完全攻略編,モンスター図鑑のコンプリート率が100%に達した。,❌
LastSP4,小金持ち,累計10000ギル入手した。,✅
LastSP4,大金持ち,累計100000ギル入手した。,✅
LastSP4,大富豪,累計500000ギル入手した。,✅
LastSP4,トレジャーハンター・ルーキー,宝箱の回収率が10%に達した。,✅
LastSP4,トレジャーハンター・ベテラン,宝箱の回収率が50%に達した。,✅
LastSP4,トレジャーハンター・レジェンド,宝箱の回収率が100%に達した。,❌
LastSP4,アイテムハンター,すべての隠しアイテムを獲得した。,❌
LastSP4,探求の冒険者,すべての場所を訪れた。,❌
